ID,OrderIndex,ManaCost,ManaCostPerLevel,ManaPerSecond,PowerDisplayID,AltPowerBarID,PowerCostPct,PowerCostMaxPct,OptionalCostPct,PowerPctPerSecond,PowerType,RequiredAuraSpellID,OptionalCost,SpellID
1,0,10,0,0,0,0,0,0,0,0,0,0,0,1
2,0,10,0,0,0,0,0,0,0,0,0,0,0,3
3,0,10,0,0,0,0,0,0,0,0,0,0,0,4
5,0,10,0,0,0,0,0,0,0,0,0,0,0,14
7,0,0,0,0,0,0,2.40000009537,0,0,0,0,137032,0,17
10,0,10,0,0,0,0,0,0,0,0,0,0,0,24
11,0,10,0,0,0,0,0,0,0,0,0,0,0,26
12,0,10,0,0,0,0,0,0,0,0,0,0,0,27
13,0,35,0,0,0,0,0,0,0,0,3,0,0,53
16,0,0,0,0,0,0,3,0,0,0,0,0,0,66
22,0,15,0,0,0,0,0,0,0,0,3,0,0,101
23,0,5,0,0,0,0,0,0,0,0,0,0,0,111
25,0,0,0,0,0,0,2,0,0,0,0,0,0,116
26,0,0,0,0,0,0,4,0,0,0,0,0,0,118
27,0,0,0,0,0,0,4,0,0,0,0,0,0,120
28,0,0,0,0,0,0,2,0,0,0,0,0,0,122
29,0,0,0,0,0,0,3,0,0,0,0,0,0,126
30,0,0,0,0,0,0,1,0,0,0,0,0,0,130
35,0,0,0,0,0,0,1.79999995232,0,0,0,0,137031,0,139
38,0,120,0,0,0,0,0,0,0,0,0,0,0,228
42,0,0,0,0,0,0,6,0,0,0,0,0,0,339
43,0,0,0,0,0,0,1.5,0,0,0,0,0,0,348
46,0,25,0,0,0,0,0,0,0,0,3,0,0,408
48,0,0,0,0,0,0,1,0,0,0,0,0,0,453
51,0,0,0,0,0,0,36,0,0,0,0,0,0,467
52,0,0,0,0,0,0,1.29999995232,0,0,0,0,0,0,475
54,0,0,0,0,0,0,3.5,0,0,0,0,0,0,498
55,0,35,0,0,0,0,0,0,0,0,0,0,0,512
56,0,0,0,0,0,0,1.29999995232,0,0,0,0,0,0,527
57,0,0,0,0,0,0,2,0,0,0,0,0,0,528
59,0,100,0,0,0,0,0,0,0,0,0,0,0,550
62,0,0,0,0,0,0,0.40000000596,0,0,0,0,137032,0,585
67,0,0,0,0,0,0,4.40000009537,0,0,0,0,0,0,596
68,0,0,0,0,0,0,1,0,0,0,0,0,0,603
69,0,0,0,0,0,0,2,0,0,0,0,0,0,605
70,0,240,0,0,0,0,0,0,0,0,0,0,0,606
74,0,0,0,0,0,0,1.5,0,0,0,0,0,0,686
76,0,10,0,0,0,0,0,0,0,0,7,0,0,688
78,0,10,0,0,0,0,0,0,0,0,7,0,0,691
81,0,10,0,0,0,0,0,0,0,0,7,0,0,697
